City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
hovd,0,NO,1569273775,93,63.83,10.7,284.26,279.82,4.1
garut,80,ID,1569273775,65,-7.22,107.9,292.112,292.112,1.31
sabang,4,PH,1569273775,94,13.8,121.11,297.59,297.59,1.21
paamiut,100,GL,1569273775,70,61.99,-49.67,278.112,278.112,3.86
ostrovnoy,100,RU,1569273775,88,68.05,39.51,275.212,275.212,9.14
boyolangu,96,ID,1569273775,95,-8.09,111.9,292.912,292.912,2.22
bure,34,NG,1569273776,75,10.52,10.33,298.812,298.812,2.07
escarcega,60,MX,1569273776,65,18.61,-90.75,304.412,304.412,4.18
jizan,0,SA,1569273776,79,16.89,42.56,304.15,304.15,2.94
cockburn town,100,TC,1569273637,65,21.46,-71.14,303.012,303.012,1
harper,75,US,1569273776,34,30.3,-99.24,309.15,305.37,4.1
vanavara,100,RU,1569273776,94,60.35,102.28,279.312,279.312,1.85
lagdo,0,CM,1569273776,83,9.06,13.67,301.15,301.15,3.1
georgetown,40,GY,1569273509,74,6.8,-58.16,303.15,299.15,4.1
marrakesh,0,MA,1569273776,44,31.63,-7.99,298.15,298.15,3.1
malanje,100,AO,1569273632,79,-9.54,16.35,294.712,294.712,3.29
portree,93,GB,1569273777,73,57.41,-6.19,285.93,284.26,1.79
tarko-sale,100,RU,1569273777,76,64.92,77.78,276.48,276.48,1.34
lahaina,40,US,1569273777,52,20.87,-156.68,306.15,300.37,5.1
laguna,40,BZ,1569273777,66,16.17,-88.94,306.15,306.15,4.1
zlatograd,20,BG,1569273777,82,41.38,25.09,292.15,290.93,1.11
catia la mar,75,VE,1569273777,88,10.6,-67.03,299.15,296.48,4.6
provideniya,0,RU,1569273663,74,64.42,-173.23,275.15,275.15,1.13
bay roberts,90,CA,1569273778,87,47.58,-53.28,290.93,287.59,10.8
gwadar,100,PK,1569273778,86,25.12,62.33,301.912,301.912,3.45
udachnyy,75,RU,1569273778,59,66.42,112.4,274.15,274.15,4
coruripe,63,BR,1569273778,91,-10.12,-36.18,295.112,295.112,3.16
rungata,,,,,,,,,
novozybkov,0,RU,1569273778,75,52.54,31.93,276.15,276.15,1
kultuk,0,RU,1569273778,68,51.73,103.71,285.312,285.312,3.53
sira,100,IN,1569273779,87,13.74,76.91,295.412,295.412,5.38
lasa,0,CY,1569273779,77,34.92,32.53,297.15,294.15,3.1
caravelas,100,BR,1569273779,73,-17.73,-39.27,295.212,295.212,10.87
zhanatas,,,,,,,,,
huangnihe,0,CN,1569273779,90,43.56,128.02,281.812,281.812,2.21
birjand,0,IR,1569273779,14,32.86,59.22,292.15,292.15,4.1
puerto leguizamo,90,CO,1569273658,50,-0.19,-74.78,305.412,305.412,1.94
zabaykalsk,31,CN,1569273779,52,49.64,117.33,279.912,279.912,1.44
garowe,58,SO,1569273712,54,8.41,48.48,299.012,299.012,10
xam nua,0,LA,1569273780,93,20.42,104.04,285.912,285.912,0.94
sao joao da barra,90,BR,1569273780,64,-21.64,-41.05,295.15,292.15,4.1
jalingo,20,NG,1569273780,79,10.3,10.93,298.912,298.912,2.95
nyurba,73,RU,1569273780,92,63.29,118.35,271.912,271.912,0.85
whithorn,40,JM,1569273780,79,18.26,-78.04,302.15,302.15,4.1
saint-georges,100,CA,1569273781,94,46.12,-70.67,292.59,291.48,2.24
sobolevo,0,RU,1569273781,77,54.43,31.9,274.412,274.412,2.1
moerai,100,PF,1569273781,88,-22.43,-151.33,294.712,294.712,8.3
sovetskiy,24,RU,1569273781,96,56.76,48.47,272.112,272.112,3.47
kayerkan,40,RU,1569273781,86,69.35,87.76,276.15,276.15,10
whitehorse,75,CA,1569273781,46,60.72,-135.06,284.26,283.15,4.6
hasaki,40,JP,1569273631,83,35.73,140.83,298.15,295.15,1
batagay,18,RU,1569273782,90,67.65,134.64,272.112,272.112,0.35
sao felix do xingu,100,BR,1569273782,36,-6.64,-51.99,306.312,306.312,1.6
mar del plata,31,AR,1569273655,38,-46.43,-67.52,291.012,291.012,10.69
auki,11,NG,1569273782,48,12.18,6.51,299.912,299.912,1.66
hofn,100,IS,1569273638,99,64.25,-15.21,278.912,278.912,2.02
talnakh,40,RU,1569273657,86,69.49,88.39,276.15,276.15,10
coquimbo,75,CL,1569273782,71,-29.95,-71.34,286.15,286.15,5.7
yavatmal,100,IN,1569273782,90,20.39,78.13,297.612,297.612,2.19
pokrovsk-uralskiy,,,,,,,,,
altamont,20,CA,1569273783,36,49.4,-98.5,299.26,298.15,7.2
ratangarh,0,IN,1569273783,66,28.07,74.62,300.012,300.012,4.33
nanakuli,90,US,1569273783,88,21.39,-158.15,302.59,298.15,3.1
seddon,90,AU,1569273783,81,-37.81,144.89,283.15,279.26,3.6
soyo,75,AO,1569273783,83,-6.13,12.37,298.15,298.15,1.5
awjilah,0,LY,1569273783,34,29.14,21.3,296.712,296.712,3.42
qaqortoq,95,GL,1569273660,75,60.72,-46.03,279.15,279.15,1.5
carbondale,1,US,1569273784,48,38.82,-95.69,301.48,299.15,3.6
pacasmayo,100,PE,1569273784,97,-7.4,-79.57,289.412,289.412,5.15
ambilobe,36,MG,1569273784,72,-13.19,49.05,295.512,295.512,2.97
raudeberg,0,NO,1569273784,93,61.99,5.14,284.26,280.15,1
guekedou,,,,,,,,,
santa cruz del sur,100,CU,1569273784,83,20.71,-78,302.312,302.312,2.64
manokwari,100,ID,1569273784,74,-0.87,134.08,296.312,296.312,2
geraldton,75,CA,1569273649,59,49.72,-86.95,289.15,289.15,2.6
san antonio,0,CL,1569273785,67,-33.58,-71.61,287.15,286.15,4.1
alto araguaia,86,BR,1569273785,24,-17.32,-53.22,306.512,306.512,1.86
jieshi,18,CN,1569273785,72,22.82,115.83,298.71,298.71,0.45
nainpur,93,IN,1569273785,90,22.43,80.11,296.312,296.312,0.94
moffat,100,GB,1569273785,93,55.33,-3.44,287.15,285.15,6.2
hervey bay,14,AU,1569273785,93,-25.3,152.85,293.71,291.15,3.6
kibala,40,TD,1569273785,94,9.11,18.35,295.15,295.15,3.1
beyneu,0,KZ,1569273785,76,45.32,55.19,286.112,286.112,3.4
chiredzi,38,ZW,1569273786,73,-21.05,31.67,294.512,294.512,6.09
pestravka,40,RU,1569273786,78,52.4,49.95,276.112,276.112,4.03
honiara,75,SB,1569273786,94,-9.43,159.96,297.15,297.15,1
meulaboh,53,ID,1569273786,79,4.14,96.13,300.412,300.412,2.36
silver city,1,US,1569273786,32,32.77,-108.28,300.93,297.59,4.6
tungkang,,,,,,,,,
havelock,1,US,1569273742,51,34.88,-76.9,301.15,298.15,4.6
chara,20,GR,1569273786,77,39.42,22.43,292.15,291.15,0.48
jackson,1,US,1569273587,52,32.3,-90.18,305.15,303.71,1.72
tecoanapa,75,MX,1569273787,70,16.99,-99.26,304.15,304.15,2.6
karasjok,75,NO,1569273787,80,69.47,25.52,277.15,277.15,6.7
keti bandar,22,PK,1569273787,81,24.14,67.45,301.812,301.812,3.86
oranjemund,0,ZA,1569273787,76,-28.55,16.43,287.512,287.512,10.92
chatham,1,CA,1569273758,46,42.41,-82.19,297.04,295.15,7.2
jiaohe,0,CN,1569273787,91,43.72,127.34,281.912,281.912,0.56
senanga,1,ZM,1569273787,14,-16.1,23.3,296.712,296.712,3.18
jumla,68,NP,1569273788,94,29.28,82.18,281.612,281.612,1.2
kloulklubed,75,PW,1569273788,78,7.04,134.26,300.15,300.15,3.1
atherton,40,AU,1569273788,78,-17.27,145.48,295.37,289.82,8.2
pacific grove,1,US,1569273653,68,36.62,-121.92,303.71,292.04,3.1
coahuayana,55,MX,1569273788,66,18.62,-100.35,303.412,303.412,0.88
nadvoitsy,14,RU,1569273788,90,63.89,34.27,273.412,273.412,3.35
siderno,40,IT,1569273788,78,38.28,16.3,299.26,298.15,6.2
jaque,,,,,,,,,
tilichiki,100,RU,1569273789,97,60.47,166.1,279.112,279.112,1.54
lashio,100,MM,1569273789,85,22.93,97.75,290.812,290.812,0.26
makakilo city,90,US,1569273789,88,21.35,-158.09,302.59,298.15,3.1
xixiang,0,CN,1569273789,74,22.58,113.87,300.93,295.93,2
caraquet,90,CA,1569273497,77,47.79,-64.94,293.15,293.15,3.6
kostrzyn,0,PL,1569273789,87,52.4,17.23,285.93,283.15,4.6
myaundzha,98,RU,1569273789,80,63.05,147.18,270.612,270.612,1.56
bolungarvik,,,,,,,,,
bardiyah,,,,,,,,,
taksimo,99,RU,1569273790,91,56.36,114.84,272.012,272.012,0.48
umzimvubu,,,,,,,,,
nakamura,20,JP,1569273656,73,35.17,136.87,296.15,293.71,5.1
kisangani,67,CD,1569273790,79,0.52,25.21,297.112,297.112,0.7
aguining,19,PH,1569273790,85,10.09,124.59,298.912,298.912,3.22
neryungri,80,RU,1569273790,97,56.66,124.71,270.712,270.712,3.09
moengo,87,SR,1569273790,64,5.62,-54.4,302.912,302.912,2.94
fresnillo,75,MX,1569273790,41,23.17,-102.87,298.15,298.15,4.73
souris,90,CA,1569273791,77,46.36,-62.25,294.15,292.04,6.2
saryshagan,,,,,,,,,
nouakchott,0,MR,1569273791,83,18.08,-15.98,301.15,301.15,6.7
half moon bay,1,US,1569273791,39,37.46,-122.43,302.59,294.82,3.6
shimoda,2,JP,1569273791,68,34.7,138.93,298.71,295.93,2.24
merauke,46,ID,1569273791,80,-8.49,140.4,298.312,298.312,9.3
conde,76,BR,1569273574,92,-11.81,-37.61,294.212,294.212,2.01
clive,40,US,1569273791,44,41.61,-93.78,300.15,297.59,4.6
zabol,0,IR,1569273791,35,31.03,61.49,296.15,296.15,3.1
lewisburg,90,US,1569273792,57,40.96,-76.88,300.15,295.93,4.1
sena madureira,96,BR,1569273792,40,-9.07,-68.66,306.612,306.612,1.26
naifaru,87,MV,1569273792,78,5.44,73.37,301.112,301.112,7.83
te anau,92,NZ,1569273792,83,-45.41,167.72,277.012,277.012,2.44
ondjiva,49,AO,1569273792,14,-17.07,15.73,295.812,295.812,3.61
naqadeh,0,IR,1569273792,28,36.96,45.39,281.612,281.612,3.35
illapel,4,CL,1569273793,66,-31.63,-71.17,286.012,286.012,2.84
mae sai,20,MM,1569273793,100,20.44,99.89,293.15,293.15,1.11
burns lake,98,CA,1569273793,81,54.23,-125.76,279.312,279.312,3.32
aitape,74,PG,1569273793,89,-3.15,142.36,297.412,297.412,1.83
vysokogornyy,87,RU,1569273793,96,50.1,139.13,278.612,278.612,5.35
copperas cove,1,US,1569273793,41,31.12,-97.9,309.82,306.48,3.35
cravo norte,24,CO,1569273793,63,6.3,-70.2,304.312,304.312,4
opotiki,100,NZ,1569273794,92,-38.01,177.29,287.59,287.59,2.68
poso,0,ID,1569273794,83,-1.4,120.75,287.412,287.412,1.58
lodwar,0,KE,1569273794,33,3.12,35.6,304.012,304.012,3.6
duvan,100,RU,1569273794,96,55.69,57.9,274.612,274.612,3.86
sao miguel,46,BR,1569273794,81,4.52,-61.01,296.912,296.912,0.92
saposoa,90,PE,1569273794,100,-6.93,-76.77,296.15,290.15,0.89
port huron,40,US,1569273794,46,42.98,-82.44,295.93,293.15,4.1
den helder,90,NL,1569273795,93,52.96,4.76,290.15,284.26,3.1
naze,75,NG,1569273657,83,5.43,7.07,300.15,300.15,2.1
canitas,,,,,,,,,
goderich,1,CA,1569273795,77,43.74,-81.71,293.71,289.26,6.71
nemuro,89,JP,1569273658,88,43.32,145.57,288.412,288.412,5.87
tazovskiy,100,RU,1569273795,95,67.47,78.7,274.412,274.412,15.25
surt,0,LY,1569273795,72,31.21,16.59,299.412,299.412,7.4
ketchikan,90,US,1569273795,100,55.34,-131.65,289.15,285.15,7.7
san jeronimo,79,PE,1569273796,52,-13.65,-73.37,290.412,290.412,4.44
aberchirder,0,GB,1569273796,82,57.56,-2.62,286.15,284.15,2.6
guanica,75,PR,1569273796,83,17.97,-66.91,304.26,301.48,4.1
valdivia,0,CL,1569273796,42,-39.81,-73.25,293.15,293.15,5.7
tual,98,ID,1569273796,86,-5.67,132.75,299.112,299.112,6.37
ramhormoz,0,IR,1569273796,16,31.28,49.6,301.312,301.312,1.49
braganca,59,BR,1569273796,74,-1.05,-46.77,299.312,299.312,2.78
severnyy,,,,,,,,,
mitu,0,IR,1569273797,42,36.2,46.09,284.112,284.112,2.25
mizpe ramon,,,,,,,,,
solovetskiy,,,,,,,,,
yangliuqing,0,CN,1569273797,77,39.14,117,295.37,291.15,1
pedasi,99,PA,1569273797,79,7.53,-80.03,300.112,300.112,2.93
baoqing,0,CN,1569273797,68,46.32,132.2,281.012,281.012,5.13
naliya,13,IN,1569273797,83,23.26,68.83,301.112,301.112,5.55
juegang,10,CN,1569273797,70,32.31,121.18,293.71,292.04,3.11
avera,1,US,1569273797,29,33.19,-82.53,307.15,304.82,3.1
peniche,0,PT,1569273798,77,39.36,-9.38,292.15,289.82,1
kavieng,100,PG,1569273798,70,-2.57,150.8,301.212,301.212,2.07
fairbanks,1,US,1569273641,49,64.84,-147.72,283.71,279.82,0.77
taoudenni,0,ML,1569273798,9,22.68,-3.98,309.212,309.212,2.49
ustka,0,PL,1569273798,82,54.58,16.86,284.912,284.912,4.65
ust-nera,68,RU,1569273798,90,64.57,143.24,270.112,270.112,2.51
vuktyl,100,RU,1569273798,88,63.86,57.31,273.012,273.012,4.35
wisconsin rapids,75,US,1569273799,40,44.39,-89.82,296.15,294.15,7.2
tartus,,,,,,,,,
olinda,90,AU,1569273799,81,-37.84,145.39,283.15,279.26,3.6
kollumerland,,,,,,,,,
hargeysa,48,SO,1569273560,55,9.56,44.06,296.312,296.312,6.21
kleck,,,,,,,,,
tuy hoa,88,VN,1569273799,96,13.08,109.3,294.612,294.612,0.73
yaan,100,NG,1569273799,97,7.38,8.57,295.312,295.312,1.99
batagay-alyta,23,RU,1569273637,74,67.8,130.41,268.312,268.312,2.5
dekoa,,,,,,,,,
nhulunbuy,49,AU,1569273799,94,-12.18,136.78,295.15,295.15,2.6
komsomolskiy,100,RU,1569273652,93,67.55,63.78,274.112,274.112,6.88
buzmeyin,0,TM,1569273800,55,38.05,58.21,291.15,291.15,1
carinhanha,0,BR,1569273800,21,-14.3,-43.77,303.712,303.712,3.69
itapirapua,99,BR,1569273800,21,-15.82,-50.61,307.212,307.212,0.87
aratos,78,GR,1569273800,81,41.08,25.55,290.93,290.93,0.14
taburi,,,,,,,,,
tambacounda,0,SN,1569273800,78,13.77,-13.67,301.15,301.15,2.1
louisbourg,,,,,,,,,
limbang,75,BN,1569273800,94,4.75,115.01,302.15,298.15,0.5
tallahassee,1,US,1569273797,38,30.44,-84.28,307.04,304.82,2.6
verkhnevilyuysk,0,RU,1569273801,95,63.45,120.31,271.812,271.812,1.66
ahuimanu,90,US,1569273801,88,21.44,-157.84,302.59,298.15,3.1
kreuztal,0,DE,1569273801,87,50.96,7.99,287.59,283.71,1
dzerzhinsk,75,RU,1569273801,93,56.24,43.46,276.48,275.93,3
andenes,,,,,,,,,
gat,7,SN,1569273659,70,14.69,-16.54,303.15,299.15,4.62
prince rupert,90,CA,1569273801,87,54.32,-130.32,285.15,285.15,6.2
astana,75,KZ,1569273801,47,51.13,71.43,286.15,286.15,12
erzin,0,TR,1569273801,47,36.95,36.2,298.15,290.93,5.7
lethem,30,GY,1569273802,54,3.38,-59.8,304.312,304.312,1.78
pascagoula,75,US,1569273802,48,30.37,-88.56,305.93,302.59,3.38
vega de alatorre,8,MX,1569273802,57,20.03,-96.65,303.312,303.312,1.8
aldan,46,RU,1569273802,97,58.61,125.39,272.512,272.512,2.13
